region;departement;tranche;nb_decl_w_siret;nb_decl_wo_siret;nb_colonies
Auvergne-Rhône-Alpes;01;0 à 9;113;497;2735
Auvergne-Rhône-Alpes;01;10 à 49;147;113;4684
Auvergne-Rhône-Alpes;01;50 à 99;13;1;969
Auvergne-Rhône-Alpes;01;100 à 149;5;0;593
Auvergne-Rhône-Alpes;01;150 à 199;10;0;1670
Auvergne-Rhône-Alpes;01;200 à 399;7;0;1765
Auvergne-Rhône-Alpes;01;400 à 699;12;0;5510
Auvergne-Rhône-Alpes;01;700 à 999;2;0;1719
Auvergne-Rhône-Alpes;01;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;03;0 à 9;55;293;1435
Auvergne-Rhône-Alpes;03;10 à 49;65;38;2018
Auvergne-Rhône-Alpes;03;50 à 99;4;1;349
Auvergne-Rhône-Alpes;03;100 à 149;2;0;222
Auvergne-Rhône-Alpes;03;150 à 199;2;0;305
Auvergne-Rhône-Alpes;03;200 à 399;3;0;836
Auvergne-Rhône-Alpes;03;400 à 699;1;0;589
Auvergne-Rhône-Alpes;03;700 à 999;1;0;835
Auvergne-Rhône-Alpes;03;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;07;0 à 9;49;395;1874
Auvergne-Rhône-Alpes;07;10 à 49;107;91;3978
Auvergne-Rhône-Alpes;07;50 à 99;33;6;2753
Auvergne-Rhône-Alpes;07;100 à 149;23;0;2733
Auvergne-Rhône-Alpes;07;150 à 199;14;0;2333
Auvergne-Rhône-Alpes;07;200 à 399;27;0;7119
Auvergne-Rhône-Alpes;07;400 à 699;10;0;4631
Auvergne-Rhône-Alpes;07;700 à 999;2;0;1573
Auvergne-Rhône-Alpes;07;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;15;0 à 9;43;140;850
Auvergne-Rhône-Alpes;15;10 à 49;82;52;2754
Auvergne-Rhône-Alpes;15;50 à 99;9;1;654
Auvergne-Rhône-Alpes;15;100 à 149;6;0;699
Auvergne-Rhône-Alpes;15;150 à 199;4;1;875
Auvergne-Rhône-Alpes;15;200 à 399;6;1;1815
Auvergne-Rhône-Alpes;15;400 à 699;1;0;480
Auvergne-Rhône-Alpes;15;700 à 999;0;0;0
Auvergne-Rhône-Alpes;15;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;26;0 à 9;65;576;2874
Auvergne-Rhône-Alpes;26;10 à 49;112;117;4466
Auvergne-Rhône-Alpes;26;50 à 99;33;1;2358
Auvergne-Rhône-Alpes;26;100 à 149;21;2;2693
Auvergne-Rhône-Alpes;26;150 à 199;14;2;2830
Auvergne-Rhône-Alpes;26;200 à 399;29;1;8276
Auvergne-Rhône-Alpes;26;400 à 699;9;0;3930
Auvergne-Rhône-Alpes;26;700 à 999;0;0;0
Auvergne-Rhône-Alpes;26;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;38;0 à 9;312;1584;7441
Auvergne-Rhône-Alpes;38;10 à 49;247;189;7622
Auvergne-Rhône-Alpes;38;50 à 99;31;2;2167
Auvergne-Rhône-Alpes;38;100 à 149;15;0;1782
Auvergne-Rhône-Alpes;38;150 à 199;11;0;1915
Auvergne-Rhône-Alpes;38;200 à 399;28;0;7509
Auvergne-Rhône-Alpes;38;400 à 699;11;0;5038
Auvergne-Rhône-Alpes;38;700 à 999;2;0;1455
Auvergne-Rhône-Alpes;38;⩾ 1000;1;0;1250
Auvergne-Rhône-Alpes;42;0 à 9;70;611;2832
Auvergne-Rhône-Alpes;42;10 à 49;113;119;4144
Auvergne-Rhône-Alpes;42;50 à 99;16;2;1295
Auvergne-Rhône-Alpes;42;100 à 149;6;1;815
Auvergne-Rhône-Alpes;42;150 à 199;10;0;1726
Auvergne-Rhône-Alpes;42;200 à 399;17;2;4916
Auvergne-Rhône-Alpes;42;400 à 699;4;0;1802
Auvergne-Rhône-Alpes;42;700 à 999;2;0;1716
Auvergne-Rhône-Alpes;42;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;43;0 à 9;26;236;1144
Auvergne-Rhône-Alpes;43;10 à 49;47;65;2287
Auvergne-Rhône-Alpes;43;50 à 99;8;2;671
Auvergne-Rhône-Alpes;43;100 à 149;3;0;359
Auvergne-Rhône-Alpes;43;150 à 199;8;0;1373
Auvergne-Rhône-Alpes;43;200 à 399;17;0;4966
Auvergne-Rhône-Alpes;43;400 à 699;3;0;1580
Auvergne-Rhône-Alpes;43;700 à 999;3;0;2475
Auvergne-Rhône-Alpes;43;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;63;0 à 9;44;592;3020
Auvergne-Rhône-Alpes;63;10 à 49;132;169;5411
Auvergne-Rhône-Alpes;63;50 à 99;19;1;1480
Auvergne-Rhône-Alpes;63;100 à 149;11;0;1323
Auvergne-Rhône-Alpes;63;150 à 199;2;0;351
Auvergne-Rhône-Alpes;63;200 à 399;17;0;4558
Auvergne-Rhône-Alpes;63;400 à 699;5;0;2330
Auvergne-Rhône-Alpes;63;700 à 999;1;0;709
Auvergne-Rhône-Alpes;63;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;69;0 à 9;97;625;2846
Auvergne-Rhône-Alpes;69;10 à 49;92;78;3086
Auvergne-Rhône-Alpes;69;50 à 99;10;1;841
Auvergne-Rhône-Alpes;69;100 à 149;4;2;709
Auvergne-Rhône-Alpes;69;150 à 199;6;0;1008
Auvergne-Rhône-Alpes;69;200 à 399;7;1;1780
Auvergne-Rhône-Alpes;69;400 à 699;2;0;1100
Auvergne-Rhône-Alpes;69;700 à 999;2;0;1600
Auvergne-Rhône-Alpes;69;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;73;0 à 9;158;1342;6899
Auvergne-Rhône-Alpes;73;10 à 49;191;278;7614
Auvergne-Rhône-Alpes;73;50 à 99;19;2;1394
Auvergne-Rhône-Alpes;73;100 à 149;10;0;1240
Auvergne-Rhône-Alpes;73;150 à 199;13;1;2288
Auvergne-Rhône-Alpes;73;200 à 399;17;0;4513
Auvergne-Rhône-Alpes;73;400 à 699;13;0;6270
Auvergne-Rhône-Alpes;73;700 à 999;1;0;785
Auvergne-Rhône-Alpes;73;⩾ 1000;0;0;0
Auvergne-Rhône-Alpes;74;0 à 9;176;962;4992
Auvergne-Rhône-Alpes;74;10 à 49;179;201;6475
Auvergne-Rhône-Alpes;74;50 à 99;13;2;1061
Auvergne-Rhône-Alpes;74;100 à 149;4;0;490
Auvergne-Rhône-Alpes;74;150 à 199;6;0;1014
Auvergne-Rhône-Alpes;74;200 à 399;11;0;3066
Auvergne-Rhône-Alpes;74;400 à 699;7;0;3201
Auvergne-Rhône-Alpes;74;700 à 999;0;0;0
Auvergne-Rhône-Alpes;74;⩾ 1000;0;0;0
Bourgogne-Franche-Comté;21;0 à 9;63;361;1830
Bourgogne-Franche-Comté;21;10 à 49;90;82;3479
Bourgogne-Franche-Comté;21;50 à 99;15;2;1145
Bourgogne-Franche-Comté;21;100 à 149;4;1;580
Bourgogne-Franche-Comté;21;150 à 199;4;0;673
Bourgogne-Franche-Comté;21;200 à 399;15;0;4325
Bourgogne-Franche-Comté;21;400 à 699;1;0;400
Bourgogne-Franche-Comté;21;700 à 999;1;0;923
Bourgogne-Franche-Comté;21;⩾ 1000;1;0;3025
Bourgogne-Franche-Comté;25;0 à 9;103;459;2582
Bourgogne-Franche-Comté;25;10 à 49;147;74;3991
Bourgogne-Franche-Comté;25;50 à 99;12;0;808
Bourgogne-Franche-Comté;25;100 à 149;4;0;445
Bourgogne-Franche-Comté;25;150 à 199;5;1;1088
Bourgogne-Franche-Comté;25;200 à 399;11;0;3076
Bourgogne-Franche-Comté;25;400 à 699;5;0;2370
Bourgogne-Franche-Comté;25;700 à 999;2;0;1420
Bourgogne-Franche-Comté;25;⩾ 1000;0;0;0
Bourgogne-Franche-Comté;39;0 à 9;31;267;1364
Bourgogne-Franche-Comté;39;10 à 49;51;40;1899
Bourgogne-Franche-Comté;39;50 à 99;10;1;762
Bourgogne-Franche-Comté;39;100 à 149;12;0;1504
Bourgogne-Franche-Comté;39;150 à 199;5;0;829
Bourgogne-Franche-Comté;39;200 à 399;16;0;4447
Bourgogne-Franche-Comté;39;400 à 699;9;0;4793
Bourgogne-Franche-Comté;39;700 à 999;0;0;0
Bourgogne-Franche-Comté;39;⩾ 1000;2;0;4129
Bourgogne-Franche-Comté;58;0 à 9;28;183;859
Bourgogne-Franche-Comté;58;10 à 49;30;22;928
Bourgogne-Franche-Comté;58;50 à 99;6;1;475
Bourgogne-Franche-Comté;58;100 à 149;4;0;487
Bourgogne-Franche-Comté;58;150 à 199;1;0;175
Bourgogne-Franche-Comté;58;200 à 399;2;0;690
Bourgogne-Franche-Comté;58;400 à 699;2;0;1000
Bourgogne-Franche-Comté;58;700 à 999;0;0;0
Bourgogne-Franche-Comté;58;⩾ 1000;1;0;1400
Bourgogne-Franche-Comté;70;0 à 9;54;277;1570
Bourgogne-Franche-Comté;70;10 à 49;71;35;2116
Bourgogne-Franche-Comté;70;50 à 99;14;0;952
Bourgogne-Franche-Comté;70;100 à 149;7;0;781
Bourgogne-Franche-Comté;70;150 à 199;6;0;1042
Bourgogne-Franche-Comté;70;200 à 399;5;1;1533
Bourgogne-Franche-Comté;70;400 à 699;5;0;2343
Bourgogne-Franche-Comté;70;700 à 999;0;0;0
Bourgogne-Franche-Comté;70;⩾ 1000;0;0;0
Bourgogne-Franche-Comté;71;0 à 9;88;452;2295
Bourgogne-Franche-Comté;71;10 à 49;100;78;3448
Bourgogne-Franche-Comté;71;50 à 99;8;0;541
Bourgogne-Franche-Comté;71;100 à 149;5;1;700
Bourgogne-Franche-Comté;71;150 à 199;3;1;675
Bourgogne-Franche-Comté;71;200 à 399;10;0;2966
Bourgogne-Franche-Comté;71;400 à 699;3;0;1448
Bourgogne-Franche-Comté;71;700 à 999;0;0;0
Bourgogne-Franche-Comté;71;⩾ 1000;1;0;1200
Bourgogne-Franche-Comté;89;0 à 9;47;237;1267
Bourgogne-Franche-Comté;89;10 à 49;61;63;2312
Bourgogne-Franche-Comté;89;50 à 99;8;0;501
Bourgogne-Franche-Comté;89;100 à 149;7;0;828
Bourgogne-Franche-Comté;89;150 à 199;4;0;724
Bourgogne-Franche-Comté;89;200 à 399;7;0;1550
Bourgogne-Franche-Comté;89;400 à 699;5;0;2381
Bourgogne-Franche-Comté;89;700 à 999;0;0;0
Bourgogne-Franche-Comté;89;⩾ 1000;2;1;32650
Bourgogne-Franche-Comté;90;0 à 9;29;105;557
Bourgogne-Franche-Comté;90;10 à 49;21;10;577
Bourgogne-Franche-Comté;90;50 à 99;1;0;95
Bourgogne-Franche-Comté;90;100 à 149;1;0;122
Bourgogne-Franche-Comté;90;150 à 199;0;0;0
Bourgogne-Franche-Comté;90;200 à 399;0;0;0
Bourgogne-Franche-Comté;90;400 à 699;0;0;0
Bourgogne-Franche-Comté;90;700 à 999;0;0;0
Bourgogne-Franche-Comté;90;⩾ 1000;0;0;0
Bretagne;22;0 à 9;53;569;2556
Bretagne;22;10 à 49;84;102;3320
Bretagne;22;50 à 99;11;2;909
Bretagne;22;100 à 149;14;0;1662
Bretagne;22;150 à 199;4;0;671
Bretagne;22;200 à 399;5;1;1702
Bretagne;22;400 à 699;2;0;851
Bretagne;22;700 à 999;0;0;0
Bretagne;22;⩾ 1000;0;0;0
Bretagne;29;0 à 9;106;785;3499
Bretagne;29;10 à 49;169;182;6746
Bretagne;29;50 à 99;19;3;1439
Bretagne;29;100 à 149;7;0;808
Bretagne;29;150 à 199;3;1;645
Bretagne;29;200 à 399;11;0;3050
Bretagne;29;400 à 699;5;0;2482
Bretagne;29;700 à 999;2;0;1583
Bretagne;29;⩾ 1000;0;0;0
Bretagne;35;0 à 9;79;541;2380
Bretagne;35;10 à 49;68;72;2592
Bretagne;35;50 à 99;14;3;1244
Bretagne;35;100 à 149;3;3;670
Bretagne;35;150 à 199;3;0;473
Bretagne;35;200 à 399;5;0;1425
Bretagne;35;400 à 699;3;0;1324
Bretagne;35;700 à 999;3;0;2818
Bretagne;35;⩾ 1000;0;0;0
Bretagne;56;0 à 9;56;594;2624
Bretagne;56;10 à 49;81;101;3392
Bretagne;56;50 à 99;13;2;1106
Bretagne;56;100 à 149;7;0;825
Bretagne;56;150 à 199;6;0;974
Bretagne;56;200 à 399;4;0;1103
Bretagne;56;400 à 699;2;0;965
Bretagne;56;700 à 999;2;0;1584
Bretagne;56;⩾ 1000;2;0;2448
Centre-Val de Loire;18;0 à 9;43;186;956
Centre-Val de Loire;18;10 à 49;44;19;1370
Centre-Val de Loire;18;50 à 99;10;0;749
Centre-Val de Loire;18;100 à 149;3;0;372
Centre-Val de Loire;18;150 à 199;1;0;192
Centre-Val de Loire;18;200 à 399;8;0;1911
Centre-Val de Loire;18;400 à 699;2;0;912
Centre-Val de Loire;18;700 à 999;3;0;2480
Centre-Val de Loire;18;⩾ 1000;1;0;2000
Centre-Val de Loire;28;0 à 9;42;200;945
Centre-Val de Loire;28;10 à 49;26;26;1023
Centre-Val de Loire;28;50 à 99;8;0;533
Centre-Val de Loire;28;100 à 149;2;0;270
Centre-Val de Loire;28;150 à 199;1;0;192
Centre-Val de Loire;28;200 à 399;3;0;907
Centre-Val de Loire;28;400 à 699;0;0;0
Centre-Val de Loire;28;700 à 999;1;0;800
Centre-Val de Loire;28;⩾ 1000;0;0;0
Centre-Val de Loire;36;0 à 9;26;183;906
Centre-Val de Loire;36;10 à 49;38;43;1523
Centre-Val de Loire;36;50 à 99;6;0;464
Centre-Val de Loire;36;100 à 149;3;0;334
Centre-Val de Loire;36;150 à 199;2;0;300
Centre-Val de Loire;36;200 à 399;13;0;3519
Centre-Val de Loire;36;400 à 699;11;0;5528
Centre-Val de Loire;36;700 à 999;1;0;700
Centre-Val de Loire;36;⩾ 1000;2;0;3043
Centre-Val de Loire;37;0 à 9;63;383;1933
Centre-Val de Loire;37;10 à 49;83;63;2962
Centre-Val de Loire;37;50 à 99;10;0;641
Centre-Val de Loire;37;100 à 149;5;0;643
Centre-Val de Loire;37;150 à 199;3;0;549
Centre-Val de Loire;37;200 à 399;7;0;1785
Centre-Val de Loire;37;400 à 699;0;0;0
Centre-Val de Loire;37;700 à 999;1;0;710
Centre-Val de Loire;37;⩾ 1000;1;0;1048
Centre-Val de Loire;41;0 à 9;41;266;1276
Centre-Val de Loire;41;10 à 49;50;66;2140
Centre-Val de Loire;41;50 à 99;7;0;495
Centre-Val de Loire;41;100 à 149;1;0;100
Centre-Val de Loire;41;150 à 199;4;0;673
Centre-Val de Loire;41;200 à 399;5;0;1149
Centre-Val de Loire;41;400 à 699;4;0;2078
Centre-Val de Loire;41;700 à 999;1;0;700
Centre-Val de Loire;41;⩾ 1000;0;0;0
Centre-Val de Loire;45;0 à 9;66;428;2123
Centre-Val de Loire;45;10 à 49;86;87;3326
Centre-Val de Loire;45;50 à 99;17;2;1256
Centre-Val de Loire;45;100 à 149;6;0;694
Centre-Val de Loire;45;150 à 199;12;0;2057
Centre-Val de Loire;45;200 à 399;5;0;1241
Centre-Val de Loire;45;400 à 699;3;0;1525
Centre-Val de Loire;45;700 à 999;0;0;0
Centre-Val de Loire;45;⩾ 1000;3;0;4427
Corse;2A;0 à 9;10;51;269
Corse;2A;10 à 49;22;37;1300
Corse;2A;50 à 99;10;3;833
Corse;2A;100 à 149;14;0;1695
Corse;2A;150 à 199;4;0;660
Corse;2A;200 à 399;8;0;1866
Corse;2A;400 à 699;1;0;450
Corse;2A;700 à 999;0;0;0
Corse;2A;⩾ 1000;0;0;0
Corse;2B;0 à 9;14;52;275
Corse;2B;10 à 49;50;39;1925
Corse;2B;50 à 99;23;3;1841
Corse;2B;100 à 149;20;1;2523
Corse;2B;150 à 199;3;0;460
Corse;2B;200 à 399;12;0;3223
Corse;2B;400 à 699;4;0;1995
Corse;2B;700 à 999;0;0;0
Corse;2B;⩾ 1000;0;0;0
Grand Est;08;0 à 9;68;136;1009
Grand Est;08;10 à 49;80;39;2135
Grand Est;08;50 à 99;8;0;534
Grand Est;08;100 à 149;3;0;355
Grand Est;08;150 à 199;2;0;333
Grand Est;08;200 à 399;5;0;1309
Grand Est;08;400 à 699;4;0;1811
Grand Est;08;700 à 999;0;0;0
Grand Est;08;⩾ 1000;1;0;1100
Grand Est;10;0 à 9;37;112;684
Grand Est;10;10 à 49;79;32;2184
Grand Est;10;50 à 99;21;0;1529
Grand Est;10;100 à 149;9;1;1132
Grand Est;10;150 à 199;3;0;562
Grand Est;10;200 à 399;2;0;556
Grand Est;10;400 à 699;2;0;860
Grand Est;10;700 à 999;0;0;0
Grand Est;10;⩾ 1000;0;0;0
Grand Est;51;0 à 9;81;168;1081
Grand Est;51;10 à 49;96;33;2837
Grand Est;51;50 à 99;20;2;1569
Grand Est;51;100 à 149;7;0;838
Grand Est;51;150 à 199;6;0;1050
Grand Est;51;200 à 399;16;0;4202
Grand Est;51;400 à 699;8;0;3718
Grand Est;51;700 à 999;1;0;720
Grand Est;51;⩾ 1000;1;0;1465
Grand Est;52;0 à 9;24;111;634
Grand Est;52;10 à 49;44;25;1642
Grand Est;52;50 à 99;9;1;657
Grand Est;52;100 à 149;6;1;832
Grand Est;52;150 à 199;6;0;1062
Grand Est;52;200 à 399;10;0;2615
Grand Est;52;400 à 699;8;0;3995
Grand Est;52;700 à 999;2;0;1675
Grand Est;52;⩾ 1000;2;0;3398
Grand Est;54;0 à 9;200;337;2454
Grand Est;54;10 à 49;144;54;3487
Grand Est;54;50 à 99;6;1;499
Grand Est;54;100 à 149;0;0;0
Grand Est;54;150 à 199;2;0;372
Grand Est;54;200 à 399;1;0;200
Grand Est;54;400 à 699;1;0;420
Grand Est;54;700 à 999;0;0;0
Grand Est;54;⩾ 1000;0;0;0
Grand Est;55;0 à 9;53;196;1171
Grand Est;55;10 à 49;77;31;2055
Grand Est;55;50 à 99;6;0;376
Grand Est;55;100 à 149;0;0;0
Grand Est;55;150 à 199;3;0;530
Grand Est;55;200 à 399;2;0;520
Grand Est;55;400 à 699;1;0;473
Grand Est;55;700 à 999;0;0;0
Grand Est;55;⩾ 1000;1;0;1125
Grand Est;57;0 à 9;291;392;3052
Grand Est;57;10 à 49;181;26;3778
Grand Est;57;50 à 99;15;1;1117
Grand Est;57;100 à 149;1;0;143
Grand Est;57;150 à 199;5;0;859
Grand Est;57;200 à 399;6;0;1585
Grand Est;57;400 à 699;9;0;4468
Grand Est;57;700 à 999;1;0;800
Grand Est;57;⩾ 1000;1;0;1000
Grand Est;67;0 à 9;236;549;3605
Grand Est;67;10 à 49;242;70;5973
Grand Est;67;50 à 99;20;3;1699
Grand Est;67;100 à 149;5;0;633
Grand Est;67;150 à 199;5;0;839
Grand Est;67;200 à 399;7;0;1901
Grand Est;67;400 à 699;7;0;3344
Grand Est;67;700 à 999;4;0;3263
Grand Est;67;⩾ 1000;1;0;1800
Grand Est;68;0 à 9;263;613;3969
Grand Est;68;10 à 49;182;55;4475
Grand Est;68;50 à 99;10;1;784
Grand Est;68;100 à 149;5;0;625
Grand Est;68;150 à 199;7;0;1220
Grand Est;68;200 à 399;7;0;2127
Grand Est;68;400 à 699;5;0;2190
Grand Est;68;700 à 999;2;0;1650
Grand Est;68;⩾ 1000;0;0;0
Grand Est;88;0 à 9;147;542;3299
Grand Est;88;10 à 49;174;87;4772
Grand Est;88;50 à 99;15;1;1088
Grand Est;88;100 à 149;7;0;799
Grand Est;88;150 à 199;3;0;527
Grand Est;88;200 à 399;13;0;3389
Grand Est;88;400 à 699;5;0;2561
Grand Est;88;700 à 999;2;0;1510
Grand Est;88;⩾ 1000;1;0;1200
Guadeloupe;971;0 à 9;1;15;59
Guadeloupe;971;10 à 49;12;18;651
Guadeloupe;971;50 à 99;12;5;1142
Guadeloupe;971;100 à 149;6;0;652
Guadeloupe;971;150 à 199;2;0;310
Guadeloupe;971;200 à 399;4;0;1100
Guadeloupe;971;400 à 699;0;0;0
Guadeloupe;971;700 à 999;0;0;0
Guadeloupe;971;⩾ 1000;0;0;0
Guyane;973;0 à 9;1;12;57
Guyane;973;10 à 49;4;6;215
Guyane;973;50 à 99;1;1;137
Guyane;973;100 à 149;0;0;0
Guyane;973;150 à 199;0;0;0
Guyane;973;200 à 399;0;0;0
Guyane;973;400 à 699;0;0;0
Guyane;973;700 à 999;0;0;0
Guyane;973;⩾ 1000;0;0;0
Hauts-de-France;02;0 à 9;91;153;1093
Hauts-de-France;02;10 à 49;58;24;1546
Hauts-de-France;02;50 à 99;5;0;393
Hauts-de-France;02;100 à 149;1;0;130
Hauts-de-France;02;150 à 199;4;0;764
Hauts-de-France;02;200 à 399;4;0;1222
Hauts-de-France;02;400 à 699;2;0;919
Hauts-de-France;02;700 à 999;0;0;0
Hauts-de-France;02;⩾ 1000;0;0;0
Hauts-de-France;59;0 à 9;140;547;2550
Hauts-de-France;59;10 à 49;85;53;2317
Hauts-de-France;59;50 à 99;9;0;524
Hauts-de-France;59;100 à 149;4;0;523
Hauts-de-France;59;150 à 199;3;0;506
Hauts-de-France;59;200 à 399;5;0;1375
Hauts-de-France;59;400 à 699;3;0;1468
Hauts-de-France;59;700 à 999;0;0;0
Hauts-de-France;59;⩾ 1000;0;0;0
Hauts-de-France;60;0 à 9;96;258;1435
Hauts-de-France;60;10 à 49;55;21;1457
Hauts-de-France;60;50 à 99;9;1;753
Hauts-de-France;60;100 à 149;4;0;451
Hauts-de-France;60;150 à 199;0;0;0
Hauts-de-France;60;200 à 399;9;0;2376
Hauts-de-France;60;400 à 699;3;0;1310
Hauts-de-France;60;700 à 999;2;0;1666
Hauts-de-France;60;⩾ 1000;0;0;0
Hauts-de-France;62;0 à 9;87;410;2050
Hauts-de-France;62;10 à 49;84;40;2037
Hauts-de-France;62;50 à 99;5;1;422
Hauts-de-France;62;100 à 149;2;0;257
Hauts-de-France;62;150 à 199;3;0;502
